dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
ambiguous,DepthAnythingV2-vitb,10,calib,21.27,99.33,48.06
ambiguous,DepthAnythingV2-vitb,10,calib_ro,14.86,99.33,50.83
ambiguous,DepthAnythingV2-vitb,10,calib_shift,50.57,99.33,58.63
ambiguous,DepthAnythingV2-vitb,10,calib_shift_ro,38.66,99.33,66.1
ambiguous,DepthAnythingV2-vitb,10,sf,27.66,99.33,52.52
ambiguous,DepthAnythingV2-vitb,10,sf_ro,26.29,99.33,66.55
ambiguous,DepthAnythingV2-vitb,10,sf_shift,9.41,99.33,26.95
ambiguous,DepthAnythingV2-vitb,10,sf_shift_ro,12.04,99.33,38.26
ambiguous,DepthAnythingV2-vitb,100,calib,24.89,99.33,54.74
ambiguous,DepthAnythingV2-vitb,100,calib_ro,15.18,99.33,52.68
ambiguous,DepthAnythingV2-vitb,100,calib_shift,62.12,99.33,66.16
ambiguous,DepthAnythingV2-vitb,100,calib_shift_ro,41.15,99.33,68.16
ambiguous,DepthAnythingV2-vitb,100,sf,30.45,99.33,59.49
ambiguous,DepthAnythingV2-vitb,100,sf_ro,27.58,99.33,69.42
ambiguous,DepthAnythingV2-vitb,100,sf_shift,18.46,99.33,43.66
ambiguous,DepthAnythingV2-vitb,100,sf_shift_ro,18.2,99.33,55.66
ambiguous,DepthAnythingV2-vitb,500,calib,28.91,99.33,59.41
ambiguous,DepthAnythingV2-vitb,500,calib_ro,15.19,99.33,52.96
ambiguous,DepthAnythingV2-vitb,500,calib_shift,66.13,99.33,68.03
ambiguous,DepthAnythingV2-vitb,500,calib_shift_ro,41.76,99.33,68.36
ambiguous,DepthAnythingV2-vitb,500,sf,31.04,99.33,62.42
ambiguous,DepthAnythingV2-vitb,500,sf_ro,27.4,99.33,70.03
ambiguous,DepthAnythingV2-vitb,500,sf_shift,25.65,99.33,51.82
ambiguous,DepthAnythingV2-vitb,500,sf_shift_ro,20.87,99.33,61.17
ambiguous,DepthAnythingV2-vitb,1000,calib,31.03,99.33,61.39
ambiguous,DepthAnythingV2-vitb,1000,calib_ro,15.2,99.33,53.03
ambiguous,DepthAnythingV2-vitb,1000,calib_shift,67.39,99.33,68.49
ambiguous,DepthAnythingV2-vitb,1000,calib_shift_ro,41.92,99.33,68.36
ambiguous,DepthAnythingV2-vitb,1000,sf,31.46,99.33,63.57
ambiguous,DepthAnythingV2-vitb,1000,sf_ro,27.47,99.33,70.24
ambiguous,DepthAnythingV2-vitb,1000,sf_shift,29.25,99.33,55.15
ambiguous,DepthAnythingV2-vitb,1000,sf_shift_ro,21.88,99.33,62.86
