dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
illusion,DepthAnythingV2-vitb,10,calib,29.43,100.0,48.87
illusion,DepthAnythingV2-vitb,10,calib_ro,20.64,100.0,37.12
illusion,DepthAnythingV2-vitb,10,calib_shift,51.57,100.0,56.13
illusion,DepthAnythingV2-vitb,10,calib_shift_ro,39.11,100.0,44.65
illusion,DepthAnythingV2-vitb,10,sf,30.78,100.0,49.44
illusion,DepthAnythingV2-vitb,10,sf_ro,25.59,100.0,48.18
illusion,DepthAnythingV2-vitb,10,sf_shift,12.97,100.0,23.32
illusion,DepthAnythingV2-vitb,10,sf_shift_ro,11.95,100.0,26.11
illusion,DepthAnythingV2-vitb,100,calib,34.53,100.0,56.64
illusion,DepthAnythingV2-vitb,100,calib_ro,22.02,100.0,38.79
illusion,DepthAnythingV2-vitb,100,calib_shift,59.21,100.0,63.35
illusion,DepthAnythingV2-vitb,100,calib_shift_ro,41.47,100.0,47.62
illusion,DepthAnythingV2-vitb,100,sf,34.76,100.0,58.25
illusion,DepthAnythingV2-vitb,100,sf_ro,27.25,100.0,51.5
illusion,DepthAnythingV2-vitb,100,sf_shift,26.12,100.0,43.53
illusion,DepthAnythingV2-vitb,100,sf_shift_ro,17.41,100.0,41.69
illusion,DepthAnythingV2-vitb,500,calib,37.49,100.0,60.53
illusion,DepthAnythingV2-vitb,500,calib_ro,22.22,100.0,39.02
illusion,DepthAnythingV2-vitb,500,calib_shift,61.89,100.0,65.15
illusion,DepthAnythingV2-vitb,500,calib_shift_ro,42.3,100.0,47.96
illusion,DepthAnythingV2-vitb,500,sf,36.28,100.0,61.36
illusion,DepthAnythingV2-vitb,500,sf_ro,27.53,100.0,52.07
illusion,DepthAnythingV2-vitb,500,sf_shift,34.27,100.0,53.0
illusion,DepthAnythingV2-vitb,500,sf_shift_ro,19.89,100.0,45.33
illusion,DepthAnythingV2-vitb,1000,calib,38.69,100.0,62.08
illusion,DepthAnythingV2-vitb,1000,calib_ro,22.2,100.0,39.08
illusion,DepthAnythingV2-vitb,1000,calib_shift,62.89,100.0,65.65
illusion,DepthAnythingV2-vitb,1000,calib_shift_ro,42.68,100.0,47.94
illusion,DepthAnythingV2-vitb,1000,sf,36.75,100.0,62.21
illusion,DepthAnythingV2-vitb,1000,sf_ro,27.6,100.0,52.28
illusion,DepthAnythingV2-vitb,1000,sf_shift,36.92,100.0,55.77
illusion,DepthAnythingV2-vitb,1000,sf_shift_ro,20.83,100.0,46.36
illusion,DepthAnythingV2-vitl,10,calib,5.88,180.23,11.41
illusion,DepthAnythingV2-vitl,10,calib_ro,22.04,180.23,37.4
illusion,DepthAnythingV2-vitl,10,calib_shift,33.57,180.23,30.02
illusion,DepthAnythingV2-vitl,10,calib_shift_ro,40.15,180.23,45.36
illusion,DepthAnythingV2-vitl,10,sf,31.5,180.23,49.87
illusion,DepthAnythingV2-vitl,10,sf_ro,27.3,180.23,48.68
illusion,DepthAnythingV2-vitl,10,sf_shift,11.72,180.23,21.86
illusion,DepthAnythingV2-vitl,10,sf_shift_ro,11.23,180.23,24.37
illusion,DepthAnythingV2-vitl,100,calib,7.41,180.23,14.54
illusion,DepthAnythingV2-vitl,100,calib_ro,23.34,180.23,39.15
illusion,DepthAnythingV2-vitl,100,calib_shift,49.44,180.23,47.88
illusion,DepthAnythingV2-vitl,100,calib_shift_ro,43.58,180.23,48.03
illusion,DepthAnythingV2-vitl,100,sf,35.44,180.23,58.32
illusion,DepthAnythingV2-vitl,100,sf_ro,29.04,180.23,51.9
illusion,DepthAnythingV2-vitl,100,sf_shift,25.64,180.23,43.13
illusion,DepthAnythingV2-vitl,100,sf_shift_ro,17.78,180.23,40.96
illusion,DepthAnythingV2-vitl,500,calib,8.81,180.23,17.39
illusion,DepthAnythingV2-vitl,500,calib_ro,23.46,180.23,39.38
illusion,DepthAnythingV2-vitl,500,calib_shift,56.21,180.23,55.23
illusion,DepthAnythingV2-vitl,500,calib_shift_ro,44.07,180.23,48.3
illusion,DepthAnythingV2-vitl,500,sf,37.39,180.23,61.4
illusion,DepthAnythingV2-vitl,500,sf_ro,29.0,180.23,52.5
illusion,DepthAnythingV2-vitl,500,sf_shift,33.97,180.23,52.88
illusion,DepthAnythingV2-vitl,500,sf_shift_ro,21.14,180.23,45.62
illusion,DepthAnythingV2-vitl,1000,calib,9.98,180.23,18.92
illusion,DepthAnythingV2-vitl,1000,calib_ro,23.59,180.23,39.38
illusion,DepthAnythingV2-vitl,1000,calib_shift,57.9,180.23,57.42
illusion,DepthAnythingV2-vitl,1000,calib_shift_ro,44.21,180.23,48.27
illusion,DepthAnythingV2-vitl,1000,sf,37.84,180.23,62.34
illusion,DepthAnythingV2-vitl,1000,sf_ro,28.99,180.23,52.68
illusion,DepthAnythingV2-vitl,1000,sf_shift,36.6,180.23,55.72
illusion,DepthAnythingV2-vitl,1000,sf_shift_ro,22.01,180.23,46.76
illusion,DepthAnythingV2-vits,10,calib,29.32,62.15,48.89
illusion,DepthAnythingV2-vits,10,calib_ro,20.94,62.15,36.1
illusion,DepthAnythingV2-vits,10,calib_shift,49.27,62.15,54.97
illusion,DepthAnythingV2-vits,10,calib_shift_ro,35.36,62.15,41.86
illusion,DepthAnythingV2-vits,10,sf,30.11,62.15,48.47
illusion,DepthAnythingV2-vits,10,sf_ro,24.49,62.15,46.57
illusion,DepthAnythingV2-vits,10,sf_shift,12.16,62.15,22.06
illusion,DepthAnythingV2-vits,10,sf_shift_ro,10.31,62.15,25.74
illusion,DepthAnythingV2-vits,100,calib,35.2,62.15,57.14
illusion,DepthAnythingV2-vits,100,calib_ro,21.83,62.15,37.84
illusion,DepthAnythingV2-vits,100,calib_shift,58.39,62.15,63.33
illusion,DepthAnythingV2-vits,100,calib_shift_ro,38.22,62.15,44.93
illusion,DepthAnythingV2-vits,100,sf,34.58,62.15,58.15
illusion,DepthAnythingV2-vits,100,sf_ro,26.37,62.15,50.08
illusion,DepthAnythingV2-vits,100,sf_shift,25.23,62.15,43.12
