dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
ambiguous,DepthAnythingV2-vitb,10,calib,10.43,99.2,47.13
ambiguous,DepthAnythingV2-vitb,10,calib_ro,6.91,99.2,42.84
ambiguous,DepthAnythingV2-vitb,10,calib_shift,41.8,99.2,54.76
ambiguous,DepthAnythingV2-vitb,10,calib_shift_ro,30.75,99.2,50.28
ambiguous,DepthAnythingV2-vitb,10,sf,17.57,99.2,48.18
ambiguous,DepthAnythingV2-vitb,10,sf_ro,15.91,99.2,52.51
ambiguous,DepthAnythingV2-vitb,10,sf_shift,9.67,99.2,25.08
ambiguous,DepthAnythingV2-vitb,10,sf_shift_ro,11.45,99.2,31.15
ambiguous,DepthAnythingV2-vitb,100,calib,12.47,99.2,53.17
ambiguous,DepthAnythingV2-vitb,100,calib_ro,7.17,99.2,44.3
ambiguous,DepthAnythingV2-vitb,100,calib_shift,47.35,99.2,60.55
ambiguous,DepthAnythingV2-vitb,100,calib_shift_ro,32.69,99.2,52.72
ambiguous,DepthAnythingV2-vitb,100,sf,19.18,99.2,55.28
ambiguous,DepthAnythingV2-vitb,100,sf_ro,16.03,99.2,55.49
ambiguous,DepthAnythingV2-vitb,100,sf_shift,18.35,99.2,44.2
ambiguous,DepthAnythingV2-vitb,100,sf_shift_ro,16.18,99.2,46.61
ambiguous,DepthAnythingV2-vitb,500,calib,13.41,99.2,56.6
ambiguous,DepthAnythingV2-vitb,500,calib_ro,7.11,99.2,44.4
ambiguous,DepthAnythingV2-vitb,500,calib_shift,48.7,99.2,61.92
ambiguous,DepthAnythingV2-vitb,500,calib_shift_ro,32.28,99.2,52.97
ambiguous,DepthAnythingV2-vitb,500,sf,19.59,99.2,57.93
ambiguous,DepthAnythingV2-vitb,500,sf_ro,15.93,99.2,55.92
ambiguous,DepthAnythingV2-vitb,500,sf_shift,24.24,99.2,52.07
ambiguous,DepthAnythingV2-vitb,500,sf_shift_ro,17.55,99.2,50.13
ambiguous,DepthAnythingV2-vitb,1000,calib,13.91,99.2,57.95
ambiguous,DepthAnythingV2-vitb,1000,calib_ro,7.14,99.2,44.38
ambiguous,DepthAnythingV2-vitb,1000,calib_shift,49.21,99.2,62.25
