dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
standard_benchmark,DepthAnythingV2-vitb,10,calib,42.75,78.62,59.43
standard_benchmark,DepthAnythingV2-vitb,10,calib_ro,29.81,78.62,63.45
standard_benchmark,DepthAnythingV2-vitb,10,calib_shift,63.2,78.62,64.72
standard_benchmark,DepthAnythingV2-vitb,10,calib_shift_ro,49.14,78.62,74.59
standard_benchmark,DepthAnythingV2-vitb,10,sf,28.8,78.62,54.18
standard_benchmark,DepthAnythingV2-vitb,10,sf_ro,21.16,78.62,71.99
standard_benchmark,DepthAnythingV2-vitb,10,sf_shift,21.12,78.62,35.84
standard_benchmark,DepthAnythingV2-vitb,10,sf_shift_ro,22.14,78.62,57.52
standard_benchmark,DepthAnythingV2-vitb,100,calib,51.14,78.62,66.04
standard_benchmark,DepthAnythingV2-vitb,100,calib_ro,30.46,78.62,64.59
standard_benchmark,DepthAnythingV2-vitb,100,calib_shift,74.27,78.62,71.34
standard_benchmark,DepthAnythingV2-vitb,100,calib_shift_ro,51.18,78.62,76.68
standard_benchmark,DepthAnythingV2-vitb,100,sf,36.34,78.62,64.03
standard_benchmark,DepthAnythingV2-vitb,100,sf_ro,22.02,78.62,75.63
standard_benchmark,DepthAnythingV2-vitb,100,sf_shift,35.36,78.62,55.2
standard_benchmark,DepthAnythingV2-vitb,100,sf_shift_ro,28.7,78.62,73.54
standard_benchmark,DepthAnythingV2-vitb,500,calib,55.18,78.62,68.9
standard_benchmark,DepthAnythingV2-vitb,500,calib_ro,30.56,78.62,64.72
standard_benchmark,DepthAnythingV2-vitb,500,calib_shift,76.83,78.62,72.49
standard_benchmark,DepthAnythingV2-vitb,500,calib_shift_ro,51.41,78.62,76.88
standard_benchmark,DepthAnythingV2-vitb,500,sf,39.44,78.62,67.0
standard_benchmark,DepthAnythingV2-vitb,500,sf_ro,22.06,78.62,76.29
standard_benchmark,DepthAnythingV2-vitb,500,sf_shift,43.63,78.62,62.44
standard_benchmark,DepthAnythingV2-vitb,500,sf_shift_ro,30.68,78.62,76.87
standard_benchmark,DepthAnythingV2-vitb,1000,calib,56.48,78.62,69.91
standard_benchmark,DepthAnythingV2-vitb,1000,calib_ro,30.61,78.62,64.73
standard_benchmark,DepthAnythingV2-vitb,1000,calib_shift,77.42,78.62,72.74
standard_benchmark,DepthAnythingV2-vitb,1000,calib_shift_ro,51.4,78.62,76.92
standard_benchmark,DepthAnythingV2-vitb,1000,sf,40.46,78.62,67.94
standard_benchmark,DepthAnythingV2-vitb,1000,sf_ro,22.08,78.62,76.44
standard_benchmark,DepthAnythingV2-vitb,1000,sf_shift,46.84,78.62,64.73
standard_benchmark,DepthAnythingV2-vitb,1000,sf_shift_ro,31.2,78.62,77.78
standard_benchmark,DepthAnythingV2-vitl,10,calib,28.94,162.95,31.7
standard_benchmark,DepthAnythingV2-vitl,10,calib_ro,29.43,162.95,62.9
standard_benchmark,DepthAnythingV2-vitl,10,calib_shift,54.77,162.95,52.57
standard_benchmark,DepthAnythingV2-vitl,10,calib_shift_ro,48.59,162.95,74.8
standard_benchmark,DepthAnythingV2-vitl,10,sf,28.01,162.95,53.1
standard_benchmark,DepthAnythingV2-vitl,10,sf_ro,20.69,162.95,70.72
standard_benchmark,DepthAnythingV2-vitl,10,sf_shift,20.48,162.95,35.58
standard_benchmark,DepthAnythingV2-vitl,10,sf_shift_ro,20.95,162.95,56.19
standard_benchmark,DepthAnythingV2-vitl,100,calib,33.98,162.95,38.57
standard_benchmark,DepthAnythingV2-vitl,100,calib_ro,30.17,162.95,64.05
standard_benchmark,DepthAnythingV2-vitl,100,calib_shift,66.39,162.95,62.16
standard_benchmark,DepthAnythingV2-vitl,100,calib_shift_ro,50.12,162.95,76.68
standard_benchmark,DepthAnythingV2-vitl,100,sf,35.34,162.95,62.98
