dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
standard_benchmark,DepthAnythingV2-vitb,10,calib,42.32,78.62,61.63
standard_benchmark,DepthAnythingV2-vitb,10,calib_ro,28.19,78.62,57.84
standard_benchmark,DepthAnythingV2-vitb,10,calib_shift,61.46,78.62,66.96
standard_benchmark,DepthAnythingV2-vitb,10,calib_shift_ro,46.15,78.62,67.84
standard_benchmark,DepthAnythingV2-vitb,10,sf,28.78,78.62,56.75
standard_benchmark,DepthAnythingV2-vitb,10,sf_ro,20.1,78.62,65.94
standard_benchmark,DepthAnythingV2-vitb,10,sf_shift,23.22,78.62,39.37
standard_benchmark,DepthAnythingV2-vitb,10,sf_shift_ro,20.23,78.62,54.0
standard_benchmark,DepthAnythingV2-vitb,100,calib,49.48,78.62,67.67
standard_benchmark,DepthAnythingV2-vitb,100,calib_ro,28.84,78.62,59.0
standard_benchmark,DepthAnythingV2-vitb,100,calib_shift,68.69,78.62,71.85
standard_benchmark,DepthAnythingV2-vitb,100,calib_shift_ro,48.28,78.62,70.17
standard_benchmark,DepthAnythingV2-vitb,100,sf,34.39,78.62,65.63
standard_benchmark,DepthAnythingV2-vitb,100,sf_ro,20.86,78.62,70.07
standard_benchmark,DepthAnythingV2-vitb,100,sf_shift,37.04,78.62,58.91
standard_benchmark,DepthAnythingV2-vitb,100,sf_shift_ro,26.19,78.62,69.03
standard_benchmark,DepthAnythingV2-vitb,500,calib,52.9,78.62,70.44
standard_benchmark,DepthAnythingV2-vitb,500,calib_ro,29.03,78.62,59.12
standard_benchmark,DepthAnythingV2-vitb,500,calib_shift,70.62,78.62,72.76
standard_benchmark,DepthAnythingV2-vitb,500,calib_shift_ro,48.59,78.62,70.46
standard_benchmark,DepthAnythingV2-vitb,500,sf,36.56,78.62,68.38
standard_benchmark,DepthAnythingV2-vitb,500,sf_ro,21.06,78.62,70.73
standard_benchmark,DepthAnythingV2-vitb,500,sf_shift,43.96,78.62,65.52
standard_benchmark,DepthAnythingV2-vitb,500,sf_shift_ro,28.46,78.62,72.14
standard_benchmark,DepthAnythingV2-vitb,1000,calib,54.19,78.62,71.38
standard_benchmark,DepthAnythingV2-vitb,1000,calib_ro,29.13,78.62,59.14
standard_benchmark,DepthAnythingV2-vitb,1000,calib_shift,71.14,78.62,72.98
standard_benchmark,DepthAnythingV2-vitb,1000,calib_shift_ro,48.71,78.62,70.5
standard_benchmark,DepthAnythingV2-vitb,1000,sf,37.36,78.62,69.25
standard_benchmark,DepthAnythingV2-vitb,1000,sf_ro,21.1,78.62,70.86
standard_benchmark,DepthAnythingV2-vitb,1000,sf_shift,46.5,78.62,67.36
standard_benchmark,DepthAnythingV2-vitb,1000,sf_shift_ro,29.15,78.62,72.92
standard_benchmark,DepthAnythingV2-vitl,10,calib,27.91,162.95,32.48
standard_benchmark,DepthAnythingV2-vitl,10,calib_ro,27.65,162.95,57.27
standard_benchmark,DepthAnythingV2-vitl,10,calib_shift,53.74,162.95,55.39
standard_benchmark,DepthAnythingV2-vitl,10,calib_shift_ro,45.32,162.95,68.05
standard_benchmark,DepthAnythingV2-vitl,10,sf,27.71,162.95,55.63
standard_benchmark,DepthAnythingV2-vitl,10,sf_ro,19.43,162.95,65.09
standard_benchmark,DepthAnythingV2-vitl,10,sf_shift,22.21,162.95,38.89
standard_benchmark,DepthAnythingV2-vitl,10,sf_shift_ro,19.06,162.95,53.03
standard_benchmark,DepthAnythingV2-vitl,100,calib,32.41,162.95,39.66
standard_benchmark,DepthAnythingV2-vitl,100,calib_ro,28.18,162.95,58.44
standard_benchmark,DepthAnythingV2-vitl,100,calib_shift,62.89,162.95,64.11
standard_benchmark,DepthAnythingV2-vitl,100,calib_shift_ro,47.55,162.95,70.1
standard_benchmark,DepthAnythingV2-vitl,100,sf,33.11,162.95,64.72
standard_benchmark,DepthAnythingV2-vitl,100,sf_ro,20.39,162.95,69.52
standard_benchmark,DepthAnythingV2-vitl,100,sf_shift,36.12,162.95,58.6
standard_benchmark,DepthAnythingV2-vitl,100,sf_shift_ro,25.41,162.95,68.78
standard_benchmark,DepthAnythingV2-vitl,500,calib,35.38,162.95,44.1
standard_benchmark,DepthAnythingV2-vitl,500,calib_ro,28.34,162.95,58.57
standard_benchmark,DepthAnythingV2-vitl,500,calib_shift,66.23,162.95,67.29
standard_benchmark,DepthAnythingV2-vitl,500,calib_shift_ro,47.8,162.95,70.37
standard_benchmark,DepthAnythingV2-vitl,500,sf,35.44,162.95,67.62
standard_benchmark,DepthAnythingV2-vitl,500,sf_ro,20.48,162.95,70.23
standard_benchmark,DepthAnythingV2-vitl,500,sf_shift,43.13,162.95,65.35
standard_benchmark,DepthAnythingV2-vitl,500,sf_shift_ro,27.82,162.95,72.04
standard_benchmark,DepthAnythingV2-vitl,1000,calib,36.56,162.95,45.97
standard_benchmark,DepthAnythingV2-vitl,1000,calib_ro,28.38,162.95,58.58
standard_benchmark,DepthAnythingV2-vitl,1000,calib_shift,67.32,162.95,68.37
standard_benchmark,DepthAnythingV2-vitl,1000,calib_shift_ro,47.86,162.95,70.41
standard_benchmark,DepthAnythingV2-vitl,1000,sf,36.24,162.95,68.58
standard_benchmark,DepthAnythingV2-vitl,1000,sf_ro,20.5,162.95,70.42
standard_benchmark,DepthAnythingV2-vitl,1000,sf_shift,45.56,162.95,67.24
standard_benchmark,DepthAnythingV2-vitl,1000,sf_shift_ro,28.5,162.95,72.86
standard_benchmark,DepthAnythingV2-vits,10,calib,42.15,50.66,61.51
standard_benchmark,DepthAnythingV2-vits,10,calib_ro,27.42,50.66,57.3
standard_benchmark,DepthAnythingV2-vits,10,calib_shift,60.68,50.66,66.34
standard_benchmark,DepthAnythingV2-vits,10,calib_shift_ro,44.2,50.66,66.6
standard_benchmark,DepthAnythingV2-vits,10,sf,28.1,50.66,56.56
standard_benchmark,DepthAnythingV2-vits,10,sf_ro,19.18,50.66,65.17
standard_benchmark,DepthAnythingV2-vits,10,sf_shift,22.93,50.66,39.42
standard_benchmark,DepthAnythingV2-vits,10,sf_shift_ro,19.97,50.66,54.02
standard_benchmark,DepthAnythingV2-vits,100,calib,49.66,50.66,67.8
standard_benchmark,DepthAnythingV2-vits,100,calib_ro,28.16,50.66,58.39
standard_benchmark,DepthAnythingV2-vits,100,calib_shift,68.71,50.66,71.69
standard_benchmark,DepthAnythingV2-vits,100,calib_shift_ro,46.82,50.66,69.01
standard_benchmark,DepthAnythingV2-vits,100,sf,33.85,50.66,65.71
standard_benchmark,DepthAnythingV2-vits,100,sf_ro,20.14,50.66,69.56
standard_benchmark,DepthAnythingV2-vits,100,sf_shift,36.79,50.66,58.78
standard_benchmark,DepthAnythingV2-vits,100,sf_shift_ro,25.68,50.66,68.49
standard_benchmark,DepthAnythingV2-vits,500,calib,53.43,50.66,70.62
standard_benchmark,DepthAnythingV2-vits,500,calib_ro,28.34,50.66,58.52
standard_benchmark,DepthAnythingV2-vits,500,calib_shift,70.92,50.66,72.69
standard_benchmark,DepthAnythingV2-vits,500,calib_shift_ro,47.37,50.66,69.32
standard_benchmark,DepthAnythingV2-vits,500,sf,36.23,50.66,68.51
standard_benchmark,DepthAnythingV2-vits,500,sf_ro,20.3,50.66,70.21
standard_benchmark,DepthAnythingV2-vits,500,sf_shift,44.1,50.66,65.4
standard_benchmark,DepthAnythingV2-vits,500,sf_shift_ro,28.05,50.66,71.4
standard_benchmark,DepthAnythingV2-vits,1000,calib,54.63,50.66,71.51
standard_benchmark,DepthAnythingV2-vits,1000,calib_ro,28.41,50.66,58.52
standard_benchmark,DepthAnythingV2-vits,1000,calib_shift,71.44,50.66,72.91
standard_benchmark,DepthAnythingV2-vits,1000,calib_shift_ro,47.44,50.66,69.38
standard_benchmark,DepthAnythingV2-vits,1000,sf,37.26,50.66,69.39
standard_benchmark,DepthAnythingV2-vits,1000,sf_ro,20.32,50.66,70.35
standard_benchmark,DepthAnythingV2-vits,1000,sf_shift,46.52,50.66,67.32
standard_benchmark,DepthAnythingV2-vits,1000,sf_shift_ro,28.64,50.66,72.19
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,calib,68.81,60.25,70.28
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,calib_ro,60.18,60.25,71.37
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,calib_shift,66.09,60.25,67.75
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,calib_shift_ro,58.91,60.25,72.15
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,sf,57.85,60.25,68.2
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,sf_ro,50.36,60.25,78.02
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,sf_shift,25.41,60.25,39.35
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,10,sf_shift_ro,27.73,60.25,54.9
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,calib,72.7,60.25,72.67
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,calib_ro,61.24,60.25,71.95
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,calib_shift,72.71,60.25,72.23
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,calib_shift_ro,61.84,60.25,74.06
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,sf,62.83,60.25,72.32
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,sf_ro,51.9,60.25,79.41
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,sf_shift,41.23,60.25,59.16
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,100,sf_shift_ro,37.14,60.25,70.64
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,calib,73.72,60.25,73.32
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,calib_ro,61.43,60.25,72.02
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,calib_shift,74.34,60.25,72.96
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,calib_shift_ro,62.33,60.25,74.24
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,sf,64.06,60.25,73.18
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,sf_ro,52.09,60.25,79.58
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,sf_shift,48.98,60.25,65.75
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,500,sf_shift_ro,40.57,60.25,74.36
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,calib,74.02,60.25,73.5
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_ro,61.44,60.25,72.02
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_shift,74.79,60.25,73.14
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,calib_shift_ro,62.44,60.25,74.28
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,sf,64.42,60.25,73.41
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_ro,52.09,60.25,79.6
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_shift,51.47,60.25,67.64
standard_benchmark,DepthAnythingV3-DA3METRIC-LARGE,1000,sf_shift_ro,41.67,60.25,75.36
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,calib,58.3,59.58,67.63
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,calib_ro,46.01,59.58,65.94
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,calib_shift,66.89,59.58,68.23
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,calib_shift_ro,59.9,59.58,72.12
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,sf,45.44,59.58,65.7
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,sf_ro,36.87,59.58,74.18
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,sf_shift,26.51,59.58,40.14
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,10,sf_shift_ro,29.49,59.58,55.69
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,calib,63.74,59.58,71.4
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,calib_ro,47.17,59.58,66.66
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,calib_shift,73.12,59.58,72.24
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,calib_shift_ro,62.45,59.58,73.97
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,sf,50.9,59.58,71.05
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,sf_ro,38.14,59.58,75.97
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,sf_shift,42.52,59.58,59.59
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,100,sf_shift_ro,38.34,59.58,71.21
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,calib,65.56,59.58,72.66
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,calib_ro,47.36,59.58,66.72
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,calib_shift,74.88,59.58,72.97
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,calib_shift_ro,62.88,59.58,74.14
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,sf,52.4,59.58,72.28
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,sf_ro,38.28,59.58,76.18
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,sf_shift,50.04,59.58,66.12
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,500,sf_shift_ro,41.41,59.58,74.7
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,calib,66.04,59.58,73.0
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,calib_ro,47.43,59.58,66.72
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,calib_shift,75.36,59.58,73.15
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,calib_shift_ro,62.99,59.58,74.16
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,sf,52.86,59.58,72.65
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,sf_ro,38.27,59.58,76.22
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,sf_shift,52.49,59.58,67.92
standard_benchmark,DepthAnythingV3-DA3MONO-LARGE,1000,sf_shift_ro,42.39,59.58,75.59
standard_benchmark,DepthAnythingV3Calib-DA3METRIC-LARGE,10,calib,68.82,56.23,70.28
