dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
standard_benchmark,DepthAnythingV2-vitb,10,calib,43.61,78.62,61.65
standard_benchmark,DepthAnythingV2-vitb,10,calib_ro,29.12,78.62,58.12
standard_benchmark,DepthAnythingV2-vitb,10,calib_shift,61.74,78.62,66.71
standard_benchmark,DepthAnythingV2-vitb,10,calib_shift_ro,46.58,78.62,67.95
standard_benchmark,DepthAnythingV2-vitb,10,sf,29.98,78.62,56.66
standard_benchmark,DepthAnythingV2-vitb,10,sf_ro,20.61,78.62,66.32
standard_benchmark,DepthAnythingV2-vitb,10,sf_shift,23.59,78.62,39.19
standard_benchmark,DepthAnythingV2-vitb,10,sf_shift_ro,20.5,78.62,54.25
standard_benchmark,DepthAnythingV2-vitb,100,calib,50.69,78.62,67.62
standard_benchmark,DepthAnythingV2-vitb,100,calib_ro,29.78,78.62,59.28
standard_benchmark,DepthAnythingV2-vitb,100,calib_shift,68.94,78.62,71.62
standard_benchmark,DepthAnythingV2-vitb,100,calib_shift_ro,48.72,78.62,70.23
standard_benchmark,DepthAnythingV2-vitb,100,sf,35.73,78.62,65.48
standard_benchmark,DepthAnythingV2-vitb,100,sf_ro,21.34,78.62,70.45
standard_benchmark,DepthAnythingV2-vitb,100,sf_shift,37.66,78.62,58.64
standard_benchmark,DepthAnythingV2-vitb,100,sf_shift_ro,26.53,78.62,69.25
standard_benchmark,DepthAnythingV2-vitb,500,calib,53.96,78.62,70.27
standard_benchmark,DepthAnythingV2-vitb,500,calib_ro,29.97,78.62,59.4
standard_benchmark,DepthAnythingV2-vitb,500,calib_shift,70.86,78.62,72.56
standard_benchmark,DepthAnythingV2-vitb,500,calib_shift_ro,49.04,78.62,70.51
standard_benchmark,DepthAnythingV2-vitb,500,sf,37.94,78.62,68.23
standard_benchmark,DepthAnythingV2-vitb,500,sf_ro,21.51,78.62,71.1
standard_benchmark,DepthAnythingV2-vitb,500,sf_shift,44.68,78.62,65.31
standard_benchmark,DepthAnythingV2-vitb,500,sf_shift_ro,28.67,78.62,72.33
standard_benchmark,DepthAnythingV2-vitb,1000,calib,55.17,78.62,71.16
standard_benchmark,DepthAnythingV2-vitb,1000,calib_ro,30.06,78.62,59.41
standard_benchmark,DepthAnythingV2-vitb,1000,calib_shift,71.41,78.62,72.79
standard_benchmark,DepthAnythingV2-vitb,1000,calib_shift_ro,49.15,78.62,70.55
standard_benchmark,DepthAnythingV2-vitb,1000,sf,38.76,78.62,69.11
standard_benchmark,DepthAnythingV2-vitb,1000,sf_ro,21.54,78.62,71.23
standard_benchmark,DepthAnythingV2-vitb,1000,sf_shift,47.18,78.62,67.14
standard_benchmark,DepthAnythingV2-vitb,1000,sf_shift_ro,29.36,78.62,73.12
standard_benchmark,DepthAnythingV2-vitl,10,calib,28.7,162.95,32.47
standard_benchmark,DepthAnythingV2-vitl,10,calib_ro,28.69,162.95,57.61
standard_benchmark,DepthAnythingV2-vitl,10,calib_shift,53.58,162.95,54.59
standard_benchmark,DepthAnythingV2-vitl,10,calib_shift_ro,45.94,162.95,68.25
standard_benchmark,DepthAnythingV2-vitl,10,sf,29.1,162.95,55.66
standard_benchmark,DepthAnythingV2-vitl,10,sf_ro,20.05,162.95,65.59
standard_benchmark,DepthAnythingV2-vitl,10,sf_shift,22.63,162.95,38.74
standard_benchmark,DepthAnythingV2-vitl,10,sf_shift_ro,19.59,162.95,53.26
standard_benchmark,DepthAnythingV2-vitl,100,calib,33.18,162.95,39.54
standard_benchmark,DepthAnythingV2-vitl,100,calib_ro,29.23,162.95,58.77
standard_benchmark,DepthAnythingV2-vitl,100,calib_shift,62.81,162.95,63.32
standard_benchmark,DepthAnythingV2-vitl,100,calib_shift_ro,48.16,162.95,70.27
standard_benchmark,DepthAnythingV2-vitl,100,sf,34.62,162.95,64.64
standard_benchmark,DepthAnythingV2-vitl,100,sf_ro,20.92,162.95,70.02
standard_benchmark,DepthAnythingV2-vitl,100,sf_shift,36.86,162.95,58.4
standard_benchmark,DepthAnythingV2-vitl,100,sf_shift_ro,25.91,162.95,69.0
standard_benchmark,DepthAnythingV2-vitl,500,calib,36.1,162.95,43.88
standard_benchmark,DepthAnythingV2-vitl,500,calib_ro,29.42,162.95,58.9
standard_benchmark,DepthAnythingV2-vitl,500,calib_shift,66.25,162.95,66.66
standard_benchmark,DepthAnythingV2-vitl,500,calib_shift_ro,48.42,162.95,70.53
standard_benchmark,DepthAnythingV2-vitl,500,sf,36.97,162.95,67.51
standard_benchmark,DepthAnythingV2-vitl,500,sf_ro,21.04,162.95,70.7
standard_benchmark,DepthAnythingV2-vitl,500,sf_shift,43.94,162.95,65.15
standard_benchmark,DepthAnythingV2-vitl,500,sf_shift_ro,28.29,162.95,72.27
standard_benchmark,DepthAnythingV2-vitl,1000,calib,37.32,162.95,45.72
standard_benchmark,DepthAnythingV2-vitl,1000,calib_ro,29.47,162.95,58.91
standard_benchmark,DepthAnythingV2-vitl,1000,calib_shift,67.4,162.95,67.8
standard_benchmark,DepthAnythingV2-vitl,1000,calib_shift_ro,48.5,162.95,70.57
standard_benchmark,DepthAnythingV2-vitl,1000,sf,37.76,162.95,68.46
standard_benchmark,DepthAnythingV2-vitl,1000,sf_ro,21.06,162.95,70.89
standard_benchmark,DepthAnythingV2-vitl,1000,sf_shift,46.38,162.95,67.06
standard_benchmark,DepthAnythingV2-vitl,1000,sf_shift_ro,28.98,162.95,73.09
standard_benchmark,DepthAnythingV2-vits,10,calib,43.73,50.66,61.62
standard_benchmark,DepthAnythingV2-vits,10,calib_ro,28.47,50.66,57.6
standard_benchmark,DepthAnythingV2-vits,10,calib_shift,61.04,50.66,66.12
standard_benchmark,DepthAnythingV2-vits,10,calib_shift_ro,44.55,50.66,66.71
standard_benchmark,DepthAnythingV2-vits,10,sf,29.5,50.66,56.56
standard_benchmark,DepthAnythingV2-vits,10,sf_ro,19.76,50.66,65.64
standard_benchmark,DepthAnythingV2-vits,10,sf_shift,23.36,50.66,39.26
