dataset,mde,iters,solver,pose_mAA_10,median_pose_err,median_f_err,mean_mde_runtime,mean_runtime,mean_inliers
sintel,DepthAnythingV2-vitb,10,calib,82.307863,0.699569,0.0,86.863155,42.476204,0.754218
sintel,DepthAnythingV2-vitb,10,sf,71.070024,1.366951,0.367092,86.863155,44.991804,0.699714
sintel,DepthAnythingV2-vitb,10,calib_shift,82.640596,0.476296,0.0,86.863155,44.178929,0.776447
sintel,DepthAnythingV2-vitb,10,sf_shift,60.245089,1.844953,0.426813,86.863155,44.409876,0.595914
sintel,DepthAnythingV2-vitb,10,calib_ro,74.063962,0.927831,0.0,86.863155,2.895506,0.760385
sintel,DepthAnythingV2-vitb,10,sf_ro,63.168512,1.854105,0.547414,86.863155,3.750608,0.696443
sintel,DepthAnythingV2-vitb,10,calib_shift_ro,65.070215,1.626692,0.0,86.863155,6.27455,0.737296
sintel,DepthAnythingV2-vitb,10,sf_shift_ro,58.097325,2.729342,0.605964,86.863155,9.096377,0.67178
sintel,DepthAnythingV2-vitb,100,calib,86.014809,0.59621,0.0,86.863155,66.605566,0.802833
sintel,DepthAnythingV2-vitb,100,sf,77.956484,1.037825,0.277689,86.863155,66.619952,0.779291
sintel,DepthAnythingV2-vitb,100,calib_shift,86.86791,0.397878,0.0,86.863155,68.595323,0.815831
sintel,DepthAnythingV2-vitb,100,sf_shift,72.197265,0.87471,0.207457,86.863155,74.505932,0.755131
sintel,DepthAnythingV2-vitb,100,calib_ro,74.094181,0.936062,0.0,86.863155,4.770015,0.764565
sintel,DepthAnythingV2-vitb,100,sf_ro,66.993592,1.635231,0.52057,86.863155,6.573846,0.755367
sintel,DepthAnythingV2-vitb,100,calib_shift_ro,66.137225,1.43503,0.0,86.863155,9.306889,0.756485
sintel,DepthAnythingV2-vitb,100,sf_shift_ro,62.185982,2.178918,0.549422,86.863155,15.076123,0.752469
sintel,DepthAnythingV2-vitb,500,calib,86.495182,0.560867,0.0,86.863155,90.660604,0.816209
sintel,DepthAnythingV2-vitb,500,sf,79.853624,0.946198,0.238851,86.863155,86.951262,0.80359
sintel,DepthAnythingV2-vitb,500,calib_shift,87.23837,0.374741,0.0,86.863155,93.74444,0.823017
sintel,DepthAnythingV2-vitb,500,sf_shift,75.028362,0.750255,0.181272,86.863155,105.92564,0.792633
sintel,DepthAnythingV2-vitb,500,calib_ro,74.089592,0.936062,0.0,86.863155,7.511963,0.764848
sintel,DepthAnythingV2-vitb,500,sf_ro,67.214912,1.635097,0.518653,86.863155,10.972901,0.760105
sintel,DepthAnythingV2-vitb,500,calib_shift_ro,66.200284,1.449209,0.0,86.863155,13.427278,0.760184
sintel,DepthAnythingV2-vitb,500,sf_shift_ro,62.455407,2.182654,0.527822,86.863155,26.3734,0.756713
sintel,DepthAnythingV2-vitb,1000,calib,86.546377,0.554124,0.0,86.863155,107.70133,0.819648
sintel,DepthAnythingV2-vitb,1000,sf,80.099443,0.929174,0.235432,86.863155,98.510972,0.811472
sintel,DepthAnythingV2-vitb,1000,calib_shift,87.423277,0.367342,0.0,86.863155,110.700723,0.824885
sintel,DepthAnythingV2-vitb,1000,sf_shift,76.140505,0.716165,0.169987,86.863155,128.29367,0.801382
sintel,DepthAnythingV2-vitb,1000,calib_ro,74.180593,0.934028,0.0,86.863155,9.987124,0.764891
sintel,DepthAnythingV2-vitb,1000,sf_ro,67.226249,1.635097,0.520157,86.863155,15.423289,0.760494
sintel,DepthAnythingV2-vitb,1000,calib_shift_ro,65.942581,1.442774,0.0,86.863155,15.854207,0.761226
sintel,DepthAnythingV2-vitb,1000,sf_shift_ro,62.66078,2.157939,0.53201,86.863155,38.900086,0.75903
sintel,DepthAnythingV2-vitl,10,calib,81.198531,0.756643,0.0,213.144581,39.137171,0.427606
sintel,DepthAnythingV2-vitl,10,sf,70.470175,1.44333,0.361112,213.144581,44.2774,0.702018
sintel,DepthAnythingV2-vitl,10,calib_shift,80.875262,0.524029,0.0,213.144581,41.50645,0.709779
sintel,DepthAnythingV2-vitl,10,sf_shift,60.362367,1.883793,0.412472,213.144581,41.133884,0.593785
sintel,DepthAnythingV2-vitl,10,calib_ro,74.382129,0.8964,0.0,213.144581,2.942129,0.761628
sintel,DepthAnythingV2-vitl,10,sf_ro,63.605768,1.932823,0.548712,213.144581,3.685981,0.695243
sintel,DepthAnythingV2-vitl,10,calib_shift_ro,63.876736,1.786023,0.0,213.144581,5.525946,0.739469
sintel,DepthAnythingV2-vitl,10,sf_shift_ro,58.891149,2.61025,0.613995,213.144581,8.600984,0.68386
sintel,DepthAnythingV2-vitl,100,calib,82.672382,0.69513,0.0,213.144581,63.79571,0.524725
