group,dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
standard_benchmark,sintel,DepthAnythingV2-vitb,10,calib,41.69,86.86,77.58
standard_benchmark,sintel,DepthAnythingV2-vitb,10,sf,28.54,86.86,72.57
standard_benchmark,sintel,DepthAnythingV2-vitb,10,calib_shift,57.87,86.86,79.08
standard_benchmark,sintel,DepthAnythingV2-vitb,10,sf_shift,31.57,86.86,62.3
standard_benchmark,sintel,DepthAnythingV2-vitb,10,calib_ro,25.94,86.86,81.28
standard_benchmark,sintel,DepthAnythingV2-vitb,10,sf_ro,19.29,86.86,82.62
standard_benchmark,sintel,DepthAnythingV2-vitb,10,calib_shift_ro,39.92,86.86,88.55
standard_benchmark,sintel,DepthAnythingV2-vitb,10,sf_shift_ro,22.1,86.86,79.97
standard_benchmark,sintel,DepthAnythingV2-vitb,100,calib,46.89,86.86,81.87
standard_benchmark,sintel,DepthAnythingV2-vitb,100,sf,34.08,86.86,79.61
standard_benchmark,sintel,DepthAnythingV2-vitb,100,calib_shift,64.91,86.86,82.68
standard_benchmark,sintel,DepthAnythingV2-vitb,100,sf_shift,41.77,86.86,77.39
standard_benchmark,sintel,DepthAnythingV2-vitb,100,calib_ro,25.96,86.86,81.98
standard_benchmark,sintel,DepthAnythingV2-vitb,100,sf_ro,19.36,86.86,85.52
standard_benchmark,sintel,DepthAnythingV2-vitb,100,calib_shift_ro,40.96,86.86,89.97
standard_benchmark,sintel,DepthAnythingV2-vitb,100,sf_shift_ro,24.04,86.86,88.04
standard_benchmark,sintel,DepthAnythingV2-vitb,500,calib,47.73,86.86,82.93
standard_benchmark,sintel,DepthAnythingV2-vitb,500,sf,36.39,86.86,81.64
standard_benchmark,sintel,DepthAnythingV2-vitb,500,calib_shift,65.73,86.86,83.18
standard_benchmark,sintel,DepthAnythingV2-vitb,500,sf_shift,45.62,86.86,80.62
standard_benchmark,sintel,DepthAnythingV2-vitb,500,calib_ro,26.02,86.86,82.05
standard_benchmark,sintel,DepthAnythingV2-vitb,500,sf_ro,19.26,86.86,86.05
standard_benchmark,sintel,DepthAnythingV2-vitb,500,calib_shift_ro,40.76,86.86,90.11
standard_benchmark,sintel,DepthAnythingV2-vitb,500,sf_shift_ro,24.62,86.86,88.99
standard_benchmark,sintel,DepthAnythingV2-vitb,1000,calib,47.96,86.86,83.27
standard_benchmark,sintel,DepthAnythingV2-vitb,1000,sf,37.06,86.86,82.26
standard_benchmark,sintel,DepthAnythingV2-vitb,1000,calib_shift,65.68,86.86,83.28
standard_benchmark,sintel,DepthAnythingV2-vitb,1000,sf_shift,47.07,86.86,81.6
standard_benchmark,sintel,DepthAnythingV2-vitb,1000,calib_ro,26.0,86.86,82.05
standard_benchmark,sintel,DepthAnythingV2-vitb,1000,sf_ro,19.25,86.86,86.1
standard_benchmark,sintel,DepthAnythingV2-vitb,1000,calib_shift_ro,40.65,86.86,90.14
standard_benchmark,sintel,DepthAnythingV2-vitb,1000,sf_shift_ro,24.71,86.86,89.16
standard_benchmark,sintel,DepthAnythingV2-vitl,10,calib,30.27,213.14,44.16
standard_benchmark,sintel,DepthAnythingV2-vitl,10,sf,28.13,213.14,72.61
standard_benchmark,sintel,DepthAnythingV2-vitl,10,calib_shift,54.22,213.14,71.44
standard_benchmark,sintel,DepthAnythingV2-vitl,10,sf_shift,31.54,213.14,61.66
standard_benchmark,sintel,DepthAnythingV2-vitl,10,calib_ro,25.9,213.14,82.3
standard_benchmark,sintel,DepthAnythingV2-vitl,10,sf_ro,18.39,213.14,83.3
standard_benchmark,sintel,DepthAnythingV2-vitl,10,calib_shift_ro,39.55,213.14,89.7
standard_benchmark,sintel,DepthAnythingV2-vitl,10,sf_shift_ro,23.5,213.14,80.42
standard_benchmark,sintel,DepthAnythingV2-vitl,100,calib,34.64,213.14,53.42
standard_benchmark,sintel,DepthAnythingV2-vitl,100,sf,33.51,213.14,79.01
standard_benchmark,sintel,DepthAnythingV2-vitl,100,calib_shift,63.02,213.14,79.16
standard_benchmark,sintel,DepthAnythingV2-vitl,100,sf_shift,42.4,213.14,76.89
standard_benchmark,sintel,DepthAnythingV2-vitl,100,calib_ro,26.13,213.14,82.97
standard_benchmark,sintel,DepthAnythingV2-vitl,100,sf_ro,18.28,213.14,86.45
standard_benchmark,sintel,DepthAnythingV2-vitl,100,calib_shift_ro,40.18,213.14,90.68
standard_benchmark,sintel,DepthAnythingV2-vitl,100,sf_shift_ro,25.88,213.14,88.72
standard_benchmark,sintel,DepthAnythingV2-vitl,500,calib,36.72,213.14,59.05
standard_benchmark,sintel,DepthAnythingV2-vitl,500,sf,35.06,213.14,80.87
standard_benchmark,sintel,DepthAnythingV2-vitl,500,calib_shift,64.99,213.14,81.58
standard_benchmark,sintel,DepthAnythingV2-vitl,500,sf_shift,46.77,213.14,80.53
standard_benchmark,sintel,DepthAnythingV2-vitl,500,calib_ro,26.05,213.14,83.02
standard_benchmark,sintel,DepthAnythingV2-vitl,500,sf_ro,18.22,213.14,86.76
standard_benchmark,sintel,DepthAnythingV2-vitl,500,calib_shift_ro,40.33,213.14,90.8
standard_benchmark,sintel,DepthAnythingV2-vitl,500,sf_shift_ro,26.85,213.14,90.03
standard_benchmark,sintel,DepthAnythingV2-vitl,1000,calib,37.68,213.14,61.28
standard_benchmark,sintel,DepthAnythingV2-vitl,1000,sf,35.38,213.14,81.72
standard_benchmark,sintel,DepthAnythingV2-vitl,1000,calib_shift,65.92,213.14,82.23
standard_benchmark,sintel,DepthAnythingV2-vitl,1000,sf_shift,48.15,213.14,81.55
standard_benchmark,sintel,DepthAnythingV2-vitl,1000,calib_ro,26.04,213.14,83.03
standard_benchmark,sintel,DepthAnythingV2-vitl,1000,sf_ro,18.23,213.14,86.83
standard_benchmark,sintel,DepthAnythingV2-vitl,1000,calib_shift_ro,40.32,213.14,90.85
standard_benchmark,sintel,DepthAnythingV2-vitl,1000,sf_shift_ro,26.92,213.14,90.3
standard_benchmark,sintel,DepthAnythingV2-vits,10,calib,41.36,53.73,77.42
standard_benchmark,sintel,DepthAnythingV2-vits,10,sf,27.07,53.73,72.34
standard_benchmark,sintel,DepthAnythingV2-vits,10,calib_shift,57.86,53.73,78.89
standard_benchmark,sintel,DepthAnythingV2-vits,10,sf_shift,31.07,53.73,61.54
standard_benchmark,sintel,DepthAnythingV2-vits,10,calib_ro,25.13,53.73,81.35
standard_benchmark,sintel,DepthAnythingV2-vits,10,sf_ro,17.9,53.73,82.72
standard_benchmark,sintel,DepthAnythingV2-vits,10,calib_shift_ro,36.59,53.73,88.28
standard_benchmark,sintel,DepthAnythingV2-vits,10,sf_shift_ro,23.48,53.73,80.45
standard_benchmark,sintel,DepthAnythingV2-vits,100,calib,46.28,53.73,81.55
standard_benchmark,sintel,DepthAnythingV2-vits,100,sf,32.43,53.73,79.26
standard_benchmark,sintel,DepthAnythingV2-vits,100,calib_shift,64.36,53.73,82.5
standard_benchmark,sintel,DepthAnythingV2-vits,100,sf_shift,40.61,53.73,76.88
standard_benchmark,sintel,DepthAnythingV2-vits,100,calib_ro,25.05,53.73,81.97
standard_benchmark,sintel,DepthAnythingV2-vits,100,sf_ro,18.0,53.73,85.44
standard_benchmark,sintel,DepthAnythingV2-vits,100,calib_shift_ro,38.64,53.73,89.72
