group,dataset,mde,iters,solver,pose_mAA_10,mean_mde_runtime,mean_inliers
standard_benchmark,sintel,DepthAnythingV2-vitb,10,calib,38.45,86.86,75.42
standard_benchmark,sintel,DepthAnythingV2-vitb,10,sf,27.07,86.86,69.97
standard_benchmark,sintel,DepthAnythingV2-vitb,10,calib_shift,50.04,86.86,77.64
standard_benchmark,sintel,DepthAnythingV2-vitb,10,sf_shift,28.54,86.86,59.59
standard_benchmark,sintel,DepthAnythingV2-vitb,10,calib_ro,25.38,86.86,77.78
standard_benchmark,sintel,DepthAnythingV2-vitb,10,sf_ro,18.48,86.86,79.57
standard_benchmark,sintel,DepthAnythingV2-vitb,10,calib_shift_ro,36.83,86.86,85.96
standard_benchmark,sintel,DepthAnythingV2-vitb,10,sf_shift_ro,18.19,86.86,75.66
standard_benchmark,sintel,DepthAnythingV2-vitb,100,calib,44.08,86.86,80.28
standard_benchmark,sintel,DepthAnythingV2-vitb,100,sf,31.59,86.86,77.93
standard_benchmark,sintel,DepthAnythingV2-vitb,100,calib_shift,55.48,86.86,81.58
standard_benchmark,sintel,DepthAnythingV2-vitb,100,sf_shift,37.02,86.86,75.51
standard_benchmark,sintel,DepthAnythingV2-vitb,100,calib_ro,25.17,86.86,78.5
standard_benchmark,sintel,DepthAnythingV2-vitb,100,sf_ro,18.82,86.86,83.32
standard_benchmark,sintel,DepthAnythingV2-vitb,100,calib_shift_ro,37.93,86.86,87.79
standard_benchmark,sintel,DepthAnythingV2-vitb,100,sf_shift_ro,20.91,86.86,86.65
standard_benchmark,sintel,DepthAnythingV2-vitb,500,calib,45.26,86.86,81.62
standard_benchmark,sintel,DepthAnythingV2-vitb,500,sf,33.45,86.86,80.36
standard_benchmark,sintel,DepthAnythingV2-vitb,500,calib_shift,56.97,86.86,82.3
standard_benchmark,sintel,DepthAnythingV2-vitb,500,sf_shift,40.45,86.86,79.26
standard_benchmark,sintel,DepthAnythingV2-vitb,500,calib_ro,25.2,86.86,78.61
standard_benchmark,sintel,DepthAnythingV2-vitb,500,sf_ro,18.95,86.86,83.85
standard_benchmark,sintel,DepthAnythingV2-vitb,500,calib_shift_ro,38.15,86.86,88.01
standard_benchmark,sintel,DepthAnythingV2-vitb,500,sf_shift_ro,21.57,86.86,87.86
standard_benchmark,sintel,DepthAnythingV2-vitb,1000,calib,45.73,86.86,81.96
