dataset,group
babies_cerny,Statue
bottles_pet_1,Unclear setup
cups_1,Unclear setup
dresden_1,Vegetation
franz_kafka,Statue
giant_chair_vltava,Unclear setup
gothenburg_statue,Statue
klamovka_sign1,Vegetation
kyoto_nakagawahigashiyama_statue,Statue
kyoto_nakagawahigashiyama_tree,Vegetation
memorial_victims_of_communism,Statue
monkey_toy_1,Unclear setup
monkey_toy_2,Unclear setup
niemand,Statue
overgrown_statue_couple,Vegetation
overgrown_statue_pot,Vegetation
prague_castle_statue,Statue
r2d2_folimanka,Statue
spejbl_hurvinek,Statue
stromovka_2,Vegetation
stromovka_2b,Vegetation
stromovka_3,Vegetation
stromovka_7,Vegetation
tree_orbit_normal1,Vegetation
yvr_huge_chair,Statue
zlata_kasna_chrt,Statue
